,PIN,FOLIO,DOR_CODE,NBHC,S_DATE,VI,QU,REA_CD,S_AMT,SUB,STR,S_TYPE,ORIG_SALES_DATE,PIN_p,DOR_C,SUB_p,SITE_ADDR,SITE_CITY,SITE_ZIP,tBEDS,tBATHS,tSTORIES,tUNITS,tBLDGS,TAXDIST,JUST,LAND,BLDG,EXF,ACT,EFF,HEAT_AR,ASD_VAL,TAX_VAL,MUNI,SD1,SD2,TIF,BASE,VI_p,ACREAGE,NBHC_p,OWNER_OCCUPIED,_merge
5706,U-11-27-17-66L-000000-COM00.0,0008875327,0902,211006.0,2002-09-16,V,U,05,100.0,66L,112717,QC,2002-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
24775,U-33-27-17-C7A-000000-00001.0,0027252632,7100,411001.0,2002-09-20,V,U,3C,50000.0,C7A,332717,WD,1987-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
24776,U-33-27-17-C7A-000000-00001.0,0027252632,7100,411001.0,2001-03-14,I,U,05,900000.0,C7A,332717,WD,1987-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
24777,U-33-27-17-C7A-000000-00001.0,0027252632,7100,411001.0,1989-11-01,I,U,38,661800.0,C7A,332717,WD,1987-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
24778,U-33-27-17-C7A-000000-00001.0,0027252632,7100,411001.0,1989-08-01,I,U,38,644000.0,C7A,332717,WD,1987-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
24779,U-33-27-17-C7A-000000-00001.0,0027252632,7100,411001.0,1987-09-01,I,U,38,560000.0,C7A,332717,WD,1987-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
24780,U-33-27-17-C7A-000000-00002.0,0027252634,0000,211001.0,2002-09-20,V,U,3C,50000.0,C7A,332717,WD,2002-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
24781,U-33-27-17-C7A-000000-00003.0,0027252636,0000,211001.0,2002-09-20,V,U,3C,50000.0,C7A,332717,WD,2002-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
24782,U-33-27-17-C7A-000000-00004.0,0027252638,0000,211001.0,2002-09-20,V,U,3C,50000.0,C7A,332717,WD,2002-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29476,U-35-27-17-C54-000001-00001.0,0028888282,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29477,U-35-27-17-C54-000001-00002.0,0028888284,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29478,U-35-27-17-C54-000001-00003.0,0028888286,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29479,U-35-27-17-C54-000001-00004.0,0028888288,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29480,U-35-27-17-C54-000001-00005.0,0028888290,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29481,U-35-27-17-C54-000001-00006.0,0028888292,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29482,U-35-27-17-C54-000001-00007.0,0028888294,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29483,U-35-27-17-C54-000001-00008.0,0028888296,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29484,U-35-27-17-C54-000002-00001.0,0028888298,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29485,U-35-27-17-C54-000002-00002.0,0028888300,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29486,U-35-27-17-C54-000002-00003.0,0028888302,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29487,U-35-27-17-C54-000002-00004.0,0028888304,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29488,U-35-27-17-C54-000002-00005.0,0028888306,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29489,U-35-27-17-C54-000002-00006.0,0028888308,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29490,U-35-27-17-C54-000003-00001.0,0028888310,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29491,U-35-27-17-C54-000003-00002.0,0028888312,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29492,U-35-27-17-C54-000003-00003.0,0028888314,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29493,U-35-27-17-C54-000003-00004.0,0028888316,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29494,U-35-27-17-C54-000003-00005.0,0028888318,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29495,U-35-27-17-C54-000003-00006.0,0028888320,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29496,U-35-27-17-C54-000003-00007.0,0028888322,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29497,U-35-27-17-C54-000003-00008.0,0028888324,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29498,U-35-27-17-C54-000004-00001.0,0028888326,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29499,U-35-27-17-C54-000004-00002.0,0028888328,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29500,U-35-27-17-C54-000004-00003.0,0028888330,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29501,U-35-27-17-C54-000004-00004.0,0028888332,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29502,U-35-27-17-C54-000005-00001.0,0028888334,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29503,U-35-27-17-C54-000005-00002.0,0028888336,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29504,U-35-27-17-C54-000005-00003.0,0028888338,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29505,U-35-27-17-C54-000005-00004.0,0028888340,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29506,U-35-27-17-C54-000005-00005.0,0028888342,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29507,U-35-27-17-C54-000005-00006.0,0028888344,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29508,U-35-27-17-C54-000005-00007.0,0028888346,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29509,U-35-27-17-C54-000005-00008.0,0028888348,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29510,U-35-27-17-C54-000006-00001.0,0028888350,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29511,U-35-27-17-C54-000006-00002.0,0028888352,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29512,U-35-27-17-C54-000006-00003.0,0028888354,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29513,U-35-27-17-C54-000006-00004.0,0028888356,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29514,U-35-27-17-C54-000006-00005.0,0028888358,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29515,U-35-27-17-C54-000006-00006.0,0028888360,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29516,U-35-27-17-C54-000006-00007.0,0028888362,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29517,U-35-27-17-C54-000006-00008.0,0028888364,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29518,U-35-27-17-C54-000007-00001.0,0028888366,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29519,U-35-27-17-C54-000007-00002.0,0028888368,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29520,U-35-27-17-C54-000007-00003.0,0028888370,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29521,U-35-27-17-C54-000007-00004.0,0028888372,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29522,U-35-27-17-C54-000007-00005.0,0028888374,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29523,U-35-27-17-C54-000007-00006.0,0028888376,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29524,U-35-27-17-C54-000007-00007.0,0028888378,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29525,U-35-27-17-C54-000007-00008.0,0028888380,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29526,U-35-27-17-C54-000008-00001.0,0028888382,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29527,U-35-27-17-C54-000008-00002.0,0028888384,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29528,U-35-27-17-C54-000008-00003.0,0028888386,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29529,U-35-27-17-C54-000008-00004.0,0028888388,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29530,U-35-27-17-C54-000008-00005.0,0028888390,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29531,U-35-27-17-C54-000008-00006.0,0028888392,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29532,U-35-27-17-C54-000009-00001.0,0028888394,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29533,U-35-27-17-C54-000009-00002.0,0028888396,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29534,U-35-27-17-C54-000009-00003.0,0028888398,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29535,U-35-27-17-C54-000009-00004.0,0028888400,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29536,U-35-27-17-C54-000000-A0000.0,0028888402,0903,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29537,U-35-27-17-C54-000000-PS000.0,0028888404,0903,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29602,U-36-27-17-C6S-000000-00002.0,0029140572,0000,211002.0,2021-11-17,V,U,05,707500.0,C6S,362717,WD,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29603,U-36-27-17-C6S-000000-00002.0,0029140572,0000,211002.0,2020-11-23,I,U,3C,4700000.0,C6S,362717,WD,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29604,U-36-27-17-C6S-000000-00003.0,0029140574,0000,211002.0,2020-11-23,I,U,3C,4700000.0,C6S,362717,WD,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29605,U-36-27-17-C6S-000000-00004.0,0029140576,0000,211002.0,2020-11-23,I,U,3C,4700000.0,C6S,362717,WD,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29606,U-36-27-17-C6S-000000-00005.0,0029140578,0000,211002.0,2020-11-23,I,U,3C,4700000.0,C6S,362717,WD,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29607,U-36-27-17-C6S-000000-00006.0,0029140580,0000,211002.0,2020-11-23,I,U,3C,4700000.0,C6S,362717,WD,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29608,U-36-27-17-C6S-000000-00007.0,0029140582,0000,211002.0,2020-11-23,I,U,3C,4700000.0,C6S,362717,WD,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29609,U-36-27-17-C6S-000000-00008.0,0029140584,0000,211002.0,2020-11-23,I,U,3C,4700000.0,C6S,362717,WD,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29610,U-36-27-17-C6S-000000-00009.0,0029140586,0000,211002.0,2020-11-23,I,U,3C,4700000.0,C6S,362717,WD,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29611,U-36-27-17-C6S-000000-00010.0,0029140588,0000,211002.0,2020-11-23,I,U,3C,4700000.0,C6S,362717,WD,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29612,U-36-27-17-C6S-000000-00011.0,0029140590,0000,211002.0,2020-11-23,I,U,3C,4700000.0,C6S,362717,WD,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29613,U-36-27-17-C6S-000000-00012.0,0029140592,0000,211002.0,2020-11-23,I,U,3C,4700000.0,C6S,362717,WD,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29614,U-36-27-17-C6S-000000-00013.0,0029140594,0000,211002.0,2020-11-23,I,U,3C,4700000.0,C6S,362717,WD,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29615,U-36-27-17-C6S-000000-00014.0,0029140596,0000,211002.0,2020-11-23,I,U,3C,4700000.0,C6S,362717,WD,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29616,U-36-27-17-C6S-000000-00015.0,0029140598,0000,211002.0,2020-11-23,I,U,3C,4700000.0,C6S,362717,WD,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29617,U-36-27-17-C6S-000000-00016.0,0029140600,0000,211002.0,2020-11-23,I,U,3C,4700000.0,C6S,362717,WD,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29618,U-36-27-17-C6S-000000-00017.0,0029140602,0000,211002.0,2021-11-17,V,U,05,707500.0,C6S,362717,WD,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29619,U-36-27-17-C6S-000000-00017.0,0029140602,0000,211002.0,2020-11-23,I,U,3C,4700000.0,C6S,362717,WD,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29620,U-36-27-17-C6S-000000-00018.0,0029140604,0000,211002.0,2020-11-23,I,U,3C,4700000.0,C6S,362717,WD,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29621,U-36-27-17-C6S-000000-00019.0,0029140606,0000,211002.0,2021-11-17,V,U,05,707500.0,C6S,362717,WD,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29622,U-36-27-17-C6S-000000-00019.0,0029140606,0000,211002.0,2020-11-23,I,U,3C,4700000.0,C6S,362717,WD,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29623,U-36-27-17-C6S-000000-00020.0,0029140608,0000,211002.0,2020-11-23,I,U,3C,4700000.0,C6S,362717,WD,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29624,U-36-27-17-C6S-000000-00021.0,0029140610,0000,211002.0,2020-11-23,I,U,3C,4700000.0,C6S,362717,WD,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29625,U-36-27-17-C6S-000000-00022.0,0029140612,0000,211002.0,2020-11-23,I,U,3C,4700000.0,C6S,362717,WD,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29626,U-36-27-17-C6S-000000-00023.0,0029140614,0000,211002.0,2021-11-17,V,U,05,707500.0,C6S,362717,WD,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29627,U-36-27-17-C6S-000000-00023.0,0029140614,0000,211002.0,2020-11-23,I,U,3C,4700000.0,C6S,362717,WD,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29628,U-36-27-17-C6S-000000-00024.0,0029140616,0000,211002.0,2020-11-23,I,U,3C,4700000.0,C6S,362717,WD,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29629,U-36-27-17-C6S-000000-00025.0,0029140618,0000,211002.0,2020-11-23,I,U,3C,4700000.0,C6S,362717,WD,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29630,U-36-27-17-C6S-000000-00026.0,0029140620,0000,211002.0,2020-11-23,I,U,3C,4700000.0,C6S,362717,WD,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29631,U-36-27-17-C6S-000000-00027.0,0029140622,0000,211002.0,2020-11-23,I,U,3C,4700000.0,C6S,362717,WD,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29632,U-36-27-17-C6S-000000-00028.0,0029140624,0000,211002.0,2020-11-23,I,U,3C,4700000.0,C6S,362717,WD,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29633,U-36-27-17-C6S-000000-00029.0,0029140626,0000,211002.0,2020-11-23,I,U,3C,4700000.0,C6S,362717,WD,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29634,U-36-27-17-C6S-000000-00030.0,0029140628,0000,211002.0,2020-11-23,I,U,3C,4700000.0,C6S,362717,WD,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29635,U-36-27-17-C6S-000000-00031.0,0029140630,0000,211002.0,2020-11-23,I,U,3C,4700000.0,C6S,362717,WD,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29636,U-36-27-17-C6S-000000-00032.0,0029140632,0000,211002.0,2020-11-23,I,U,3C,4700000.0,C6S,362717,WD,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29637,U-36-27-17-C6S-000000-00033.0,0029140634,0000,211002.0,2020-11-23,I,U,3C,4700000.0,C6S,362717,WD,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29638,U-36-27-17-C6S-000000-00034.0,0029140636,0000,211002.0,2020-11-23,I,U,3C,4700000.0,C6S,362717,WD,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29639,U-36-27-17-C6S-000000-00035.0,0029140638,0000,211002.0,2020-11-23,I,U,3C,4700000.0,C6S,362717,WD,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29640,U-36-27-17-C6S-000000-00036.0,0029140640,0000,211002.0,2020-11-23,I,U,3C,4700000.0,C6S,362717,WD,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29641,U-36-27-17-C6S-000000-00037.0,0029140642,0000,211002.0,2020-11-23,I,U,3C,4700000.0,C6S,362717,WD,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29642,U-36-27-17-C6S-000000-00038.0,0029140644,0000,211002.0,2020-11-23,I,U,3C,4700000.0,C6S,362717,WD,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29643,U-36-27-17-C6S-000000-00039.0,0029140646,0000,211002.0,2020-11-23,I,U,3C,4700000.0,C6S,362717,WD,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29644,U-36-27-17-C6S-000000-00040.0,0029140648,0000,211002.0,2020-11-23,I,U,3C,4700000.0,C6S,362717,WD,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29645,U-36-27-17-C6S-000000-00041.0,0029140650,0000,211002.0,2020-11-23,I,U,3C,4700000.0,C6S,362717,WD,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29646,U-36-27-17-C6S-000000-00042.0,0029140652,0000,211002.0,2020-11-23,I,U,3C,4700000.0,C6S,362717,WD,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29647,U-36-27-17-C6S-000000-00043.0,0029140654,0000,211002.0,2020-11-23,I,U,3C,4700000.0,C6S,362717,WD,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29648,U-36-27-17-C6S-000000-00044.0,0029140656,0000,211002.0,2020-11-23,I,U,3C,4700000.0,C6S,362717,WD,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29649,U-35-27-17-C6S-000000-00045.0,0029140658,0000,211003.0,2020-11-23,I,U,3C,4700000.0,C6S,352717,WD,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29650,U-36-27-17-C6S-000000-00046.0,0029140660,0000,211002.0,2020-11-23,I,U,3C,4700000.0,C6S,362717,WD,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29651,U-36-27-17-C6S-000000-00047.0,0029140662,0000,211002.0,2020-11-23,I,U,3C,4700000.0,C6S,362717,WD,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29652,U-36-27-17-C6S-000000-00048.0,0029140664,0000,211002.0,2020-11-23,I,U,3C,4700000.0,C6S,362717,WD,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29653,U-36-27-17-C6S-000000-00049.0,0029140666,0000,211002.0,2020-11-23,I,U,3C,4700000.0,C6S,362717,WD,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29654,U-36-27-17-C6S-000000-00050.0,0029140668,0000,211002.0,2020-11-23,I,U,3C,4700000.0,C6S,362717,WD,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29655,U-36-27-17-C6S-000000-00051.0,0029140670,0000,211002.0,2020-11-23,I,U,3C,4700000.0,C6S,362717,WD,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29656,U-36-27-17-C6S-000000-00052.0,0029140672,0000,211002.0,2020-11-23,I,U,3C,4700000.0,C6S,362717,WD,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29657,U-36-27-17-C6S-000000-00053.0,0029140674,0000,211002.0,2020-11-23,I,U,3C,4700000.0,C6S,362717,WD,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29658,U-36-27-17-C6S-000000-00054.0,0029140676,0000,211002.0,2020-11-23,I,U,3C,4700000.0,C6S,362717,WD,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29659,U-36-27-17-C6S-000000-00055.0,0029140678,0000,211002.0,2020-11-23,I,U,3C,4700000.0,C6S,362717,WD,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29660,U-36-27-17-C6S-000000-00056.0,0029140680,0000,211002.0,2020-11-23,I,U,3C,4700000.0,C6S,362717,WD,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
